FCLTY_NM,RDNMADR_NM,CTPRVN_CD,SIGNGU_CD,FCLTY_LO,FCLTY_LA,AREA_NM,HMPG_URL,HOTEL_GRAD_NO,TEL_NO,QESTN_ONE_NM,QESTN_TWO_NM,QESTN_THREE_NM,BASE_DE
로얄 호텔 서울,서울특별시 중구 명동길 61,11,11140,126.9738896,37.56230887,서울,www.royal.co.kr,특2급,02-771-4500,아침식사종류,즐길거리제공여부,객실종류,2020-12-31
로얄스퀘어 호텔,서울특별시 강서구 공항대로 30,11,11500,126.8781781,37.54854206,서울,www.royalsquarehotel.com,3급,02-6733-6000,내부레스토랑여부,아침식사종류,숙박요금,2020-12-31
리버 파크 호텔,서울특별시 강서구 공항대로 653-30,11,11500,126.8781162,37.54790737,서울,www.riverpark.co.kr,1급,02-3665-3000,숙박요금,내부레스토랑여부,공항에서 이동방법,2020-12-31
리치다이아몬드 관광호텔,서울특별시 강북구 삼양로 500-18,11,11305,126.8102778,37.56066313,서울,www.richdiamondhotel.com,3급,02-905-9131,체크인&체크아웃 시간,아침식사종류,객실종류,2020-12-31
마릴린 호텔,경기도 수원시 팔달구 권광로196번길 43-7,41,41115,127.0285496,37.26687187,경기,,,031-236-0901,인기관광명소,편의시설유무,객실비품유무,2020-12-31
마인드 호텔,서울특별시 금천구 남부순환로 1262,11,11545,126.8770948,37.4783515,서울,hotelmind.modoo.at,3급,02-839-1222,아침식사종류,체크인&체크아웃 시간,숙박요금,2020-12-31
명동 프린스 호텔,서울특별시 중구 퇴계로 130 프린스호텔,11,11140,126.983696,37.56033765,서울,www.hotelprinceseoul.co.kr,3급,02-752-7111,내부레스토랑여부,숙박요금,즐길거리제공여부,2020-12-31
밀리토피아 호텔,경기도 성남시 수정구 창곡동 360-1,41,41131,127.1357846,37.46917814,경기,www.militopiahotel.com,특2급,031-727-9370,숙박요금,즐길거리제공여부,주차가능여부,2020-12-31
반얀트리 클럽 앤 스파 서울,서울특별시 중구 장충단로 60,11,11140,126.9862703,37.56066552,서울,www.banyantreeclub.com,특1급,02-2250-8000,체크인&체크아웃 시간,공항에서 이동방법,내부레스토랑여부,2020-12-31
밸류 호텔 월드와이드 부산,부산광역시 영도구 대교동1가 40,26,26200,129.0359501,35.10050615,부산,www.valuehotelbusan.com,3급,051-960-5500,인기관광명소,편의시설유무,객실비품유무,2020-12-31
밸류 호텔 월드와이드 제주,제주특별자치도 서귀포시 김정문화로 51,50,50130,126.5102947,33.25142402,제주,http://www.valuehoteljs.com/,3급,064-802-3000,객실종류,즐길거리제공여부,아침식사종류,2020-12-31
베니키아 더 엠 호텔,서울특별시 마포구 성산동 52-13,11,11440,126.9205716,37.55378271,서울,www.hotelthem.com,3급,02-336-0001,즐길거리제공여부,숙박요금,수영장유무,2020-12-31
베니키아 수원 호텔,경기도 수원시 권선구 효원로266번길 9 조아텔,41,41113,127.0308608,37.26154596,경기,http://www.suwonhotel.co.kr/kor,3급,031-236-7112,숙박요금,내부레스토랑여부,객실종류,2020-12-31
베니키아 아카시아 호텔,서울특별시 중구 동호로 360,11,11140,126.9852027,37.56463398,서울,www.hotelacacia.co.kr,3급,02-2277-4917,아침식사종류,공항에서 이동방법,숙박요금,2020-12-31
베니키아 프리미어 마리안느 호텔,부산광역시 해운대구 해운대해변로 310,26,26350,129.1545873,35.15964137,부산,www.mariannehotel.co.kr,3급,051-606-0600,인기관광명소,편의시설유무,객실비품유무,2020-12-31
베니키아 호텔 월미도 바다의 별,인천광역시 중구 월미로242번길 7-2,28,28110,126.5984422,37.47435003,인천,www.hotelseastar.co.kr,3급,032-765-7000,객실종류,체크인&체크아웃 시간,숙박요금,2020-12-31
베스트 루이스 해밀턴 호텔,부산광역시 해운대구 해운대해변로209번가길 8,26,26350,127.0301916,37.50647548,부산,http://www.bestlouishamiltonhaeundae.com/,3급,051-741-7711,인기관광명소,근처음식점,반려동물허용여부,2020-12-31
베스트원 관광호텔,제주특별자치도 제주시 조천읍 신북로 443,50,50110,126.6569041,33.54420799,제주,www.hotel-bestone.com,3급,064-731-3700,체크인&체크아웃 시간,아침식사종류,내부레스토랑여부,2020-12-31
베스트인시티 호텔 부산,부산광역시 동구 고관로 7,26,26170,129.0818704,35.21946372,부산,http://www.bestincityhotel.co.kr,3급,051-464-8883,내부레스토랑여부,즐길거리제공여부,객실종류,2020-12-31
벨라스위트 호텔,경기도 수원시 팔달구 권광로180번길,41,41115,127.032221,37.2637485,경기,www.vellasuitehotel.co.kr,3급,031-231-2121,주차가능여부,공항에서 이동방법,객실종류,2020-12-31
부산 비즈니스 호텔,부산광역시 부산진구 부전로 67,26,26230,129.0373247,35.09382162,부산,www.busanbusinesshotel.com,3급,051-808-2000,내부레스토랑여부,객실종류,주차가능여부,2020-12-31
부산 센트럴파크 호텔,부산광역시 중구 해관로 20,26,26110,129.1613998,35.16012514,부산,,3급,051-243-8001,인기관광명소,편의시설유무,객실비품유무,2020-12-31
분당JS 호텔,경기도 성남시 분당구 황새울로311번길 36,41,41135,127.1212276,37.38653939,경기,www.jshotelbundang.com,3급,1877-8006,체크인&체크아웃 시간,아침식사종류,객실종류,2020-12-31
브라운스위트 제주,제주특별자치도 서귀포시 성산읍 고성오조로 94,50,50130,126.9145249,33.45210482,제주,brownsuitesjeju.com/,3급,064-786-6200,내부레스토랑여부,공항에서 이동방법,즐길거리제공여부,2020-12-31
서우봉 비치 호텔,제주특별자치도 제주시 조천읍 함덕6길 10,50,50110,126.6602847,33.54282848,제주,http://seoubongbeachhotel.com/,3급,064-731-5000,공항에서 이동방법,숙박요금,체크인&체크아웃 시간,2020-12-31
선셋 비지니스 호텔,부산광역시 해운대구 구남로 46 웨이브타운,26,26350,129.1620947,35.16143761,부산,www.sunsethotel.co.kr,3급,051-730-9900,즐길거리제공여부,주차가능여부,내부레스토랑여부,2020-12-31
센텀 호텔 부산,부산광역시 해운대구 센텀3로 20,26,26350,129.1611261,35.15982469,부산,www.ecentumhotel.com,특2급,051-720-9000,즐길거리제공여부,공항에서 이동방법,객실종류,2020-12-31
수원 실크로드 호텔,경기도 수원시 팔달구 인계로94번길 27-19,41,41115,127.0286618,37.26345269,경기,www.hotelsilkroad.co.kr,3급,031-232-9981,인기관광명소,편의시설유무,객실비품유무,2020-12-31
수원 퍼시픽 호텔,경기도 수원시 팔달구 효원로235번길,41,41115,126.8619737,37.30235746,경기,suwonpacifichotel.modoo.at,3급,031-895-4045,아침식사종류,즐길거리제공여부,공항에서 이동방법,2020-12-31
스위트호텔경주,경상북도 경주시 보문로 280-12,47,47130,130.8701956,37.46538432,경북,http://www.suites.co.kr/Gyeongju/ko,3급,054-778-5300,인기관광명소,편의시설유무,객실비품유무,2020-12-31
스위트호텔낙산,강원도 양양군 양양읍 해맞이길 84,42,42830,128.6348202,38.11488063,강원,http://www.suites.co.kr/Naksan/ko,3급,033-670-1100,주차가능여부,공항에서 이동방법,객실종류,2020-12-31
스위트호텔남원,전라북도 남원시 주천면 원천로 217 교원,45,45190,127.4152389,35.40805286,전북,http://www.suites.co.kr/Namwon/ko,4급,063-630-7100,공항에서 이동방법,객실종류,체크인&체크아웃 시간,2020-12-31
스타즈 호텔 동탄점,경기도 화성시 큰재봉길 31-11,41,41590,128.1403543,35.17779867,경기,http://www.stazhoteldongtan.com,3급,031-613-3319,숙박요금,주차가능여부,아침식사종류,2020-12-31
스타즈호텔울산점,울산광역시 남구 남중로 65,31,31140,129.3473935,35.54023109,울산,http://www.stazhotelulsan.com/,3급,052-922-4000,즐길거리제공여부,주차가능여부,내부레스토랑여부,2020-12-31
씨 플러스 레지던스,경기도 화성시 큰재봉길 29,41,41590,127.0788036,37.21820665,경기,cplusresidence.com,2급,031-8015-0703,객실종류,주차가능여부,즐길거리제공여부,2020-12-31
씨앤비 호텔,경기도 안산시 상록구 상록수로 20,41,41271,126.9208397,37.4124816,경기,cnbhotel.modoo.at,3급,031-406-1212,숙박요금,체크인&체크아웃 시간,내부레스토랑여부,2020-12-31
씨에스 프리미어 관광 호텔,경기도 안양시 만안구 경수대로 118,41,41171,126.8428129,36.97676969,경기,http://www.thecshotel.com,1급,031-478-0100,즐길거리제공여부,내부레스토랑여부,숙박요금,2020-12-31
아마란스 호텔,강원도 속초시 노학동 748-51,42,42210,128.5486353,38.18992163,강원,http://www.hotelamaranth.com/,3급,033-636-5252,공항에서 이동방법,객실종류,체크인&체크아웃 시간,2020-12-31
온양 관광 호텔,충청남도 아산시 온천대로 1459,44,44200,126.9999234,36.78355551,충남,https://www.onyanghotel.co.kr:502/,3급,041-540-1000,공항에서 이동방법,객실종류,체크인&체크아웃 시간,2020-12-31
울릉도 라페루즈 리조트,경상북도 울릉군 울릉읍 중령길 129-128,47,47940,129.0414767,35.12031213,울릉도,http://www.laperouse.co.kr/html/main.asp,2급,054-791-0114,주차가능여부,체크인&체크아웃 시간,내부레스토랑여부,2020-12-31
이 천안호텔,충청남도 천안시 서북구 성정동 734-2,44,44130,127.1402412,36.81241021,충남,http://www.cheonanhotel.kr/,2급,041-592-0000,아침식사종류,주차가능여부,객실종류,2020-12-31
제주 라마다 앙코르 이스트 호텔,제주특별자치도 서귀포시 서호동,50,50130,126.519934,33.254517,제주,https://www.ramadaencorejejuseogwipo.com/,3급,064-735-2000,주차가능여부,체크인&체크아웃 시간,내부레스토랑여부,2020-12-31
제주 하나 호텔,제주특별자치도 서귀포시 중문관광로72번길 53,50,50130,126.4080885,33.24986732,제주,http://www.hotelhana.co.kr/main/,특2급,064-738-7001,체크인&체크아웃 시간,내부레스토랑여부,아침식사종류,2020-12-31
코업 시티 호텔 성산,제주특별자치도 서귀포시 성산읍 성산등용로 28,50,50130,126.9319272,33.46598674,제주,https://www.coopcityhotel-seongsan.co.kr/,3급,064-780-9800,숙박요금,주차가능여부,공항에서 이동방법,2020-12-31
호텔 노블레스 제주,제주특별자치도 제주시 월성로4길 19,50,50110,126.5033589,33.50067983,제주,hotelnoblessejeju.modoo.at,3급,064-748-7161,내부레스토랑여부,아침식사종류,체크인&체크아웃 시간,2020-12-31
호텔 로베로,제주특별자치도 제주시 관덕로 26,50,50110,126.5218499,33.51287223,제주,stazhoteljejurobero.com/,1급,064-757-7111,체크인&체크아웃 시간,,즐길거리제공여부,2020-12-31
호텔 위드 제주,제주특별자치도 제주시 노연로 34,50,50110,126.4837714,33.4857485,제주,www.hotelwithjeju.com/,특2급,02-522-5873,내부레스토랑여부,아침식사종류,체크인&체크아웃 시간,2020-12-31
힐리언스선마을,강원도 홍천군 서면 종자산길 122,42,42720,127.6308018,37.65025711,강원,https://www.healience.co.kr/,3급,033-434-2772,주차가능여부,내부레스토랑여부,숙박요금,2020-12-31
힐리언스선마을,강원도 홍천군 서면 종자산길 122,42,42720,127.6308018,37.65025711,강원,https://www.healience.co.kr/,3급,033-434-2772,숙박요금,내부레스토랑여부,객실종류,2020-12-31
호텔시에나,경기도 파주시 소리천로 31,41,41480,126.761882,37.715627,경기,www.hotelsienna.com,1급,031-943-7260,체크인&체크아웃 시간,아침식사종류,내부레스토랑여부,2020-12-31
밸류호텔월드와이드부산,부산광역시 영도구 대교동1가 40,26,26200,129.037303,35.093819,부산,"
www.valuehotelbusan.com",4성,051-960-5555,내부레스토랑여부,아침식사종류,체크인&체크아웃 시간,2020-12-31
골든튤립해운대호텔앤스위트,부산광역시 해운대구 중동 해운대해변로 322,26,26350,129.16587,35.162292,부산,www.goldentulip-haeundae.com,특2급,051-795-7000,즐길거리제공여부,숙박요금,객실종류,2020-12-31
라비타호텔,서울특별시 강남구 영동대로712,11,11680,127.056886,37.521426,서울,http://lavitahotelseoul.com/,2급,02-545-0015,체크인&체크아웃 시간,아침식사종류,내부레스토랑여부,2020-12-31
라마다바이윈덤동대문,서울특별시 중구 동호로 354,11,11140,127.002806,37.565916,서울,http://www.ramadaddm.com/ramada/location.html,2급,02-2276-3500,주차가능여부,체크인&체크아웃 시간,내부레스토랑여부,2020-12-31
로사나부띠크호텔,서울특별시 송파구 석촌동 삼학사로 98,11,11710,127.097537,37.505975,서울,http://rosanahotel.co.kr/,특2급,02-2143-3000,공항에서 이동방법,객실종류,체크인&체크아웃 시간,2020-12-31
라마다호텔앤스위트서울남대문,서울특별시 중구 칠패로 27,11,11140,126.972065,37.559976,서울,https://www.seanhotelgroup.com/hotels/ramada-namdaemun/ko,특2급,02-775-7000,체크인&체크아웃 시간,아침식사종류,내부레스토랑여부,2020-12-31
로얄호텔서울,서울특별시 중구 명동1가 명동길 61,11,11140,126.98569,37.564329,서울,https://www.royal.co.kr/2014_renew/ko/,특2급,02-771-4500,인기관광명소,편의시설유무,객실비품유무,2020-12-31
코리아나호텔,서울특별시 중구 태평로1가 세종대로 135,11,11140,126.976548,37.568224,서울,https://www.koreanahotel.com/index.htm?,특2급,02-2171-7000,객실종류,즐길거리제공여부,아침식사종류,2020-12-31
파티오세븐호텔,서울특별시 강남구 논현동 논현로 736,11,11680,127.029397,37.517824,서울,https://www.patio7.co.kr/,1급,02-517-8833,내부레스토랑여부,아침식사종류,체크인&체크아웃 시간,2020-12-31
아스티호텔부산,부산광역시 동구 초량3동 중앙대로214번길 7-8,26,26170,129.041933,35.116368,부산,https://astihotel.co.kr/,특2급,051-409-8888,즐길거리제공여부,숙박요금,객실종류,2020-12-31
